==32426== NVPROF is profiling process 32426, command: /home/ruipan/anaconda3/bin/python cv_benchmark.py --apex-amp O0 --model resnet18 --dataset cifar10 --batch-size 16 --epochs 1
==32426== Profiling application: /home/ruipan/anaconda3/bin/python cv_benchmark.py --apex-amp O0 --model resnet18 --dataset cifar10 --batch-size 16 --epochs 1
==32426== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
"API calls",1.287337,0.402149,2012709,0.000199,0.135000,0.998731,"cudaGetLastError"
"API calls",1.062646,0.331958,28185,0.011777,4.715000,11.599425,"cudaMemsetAsync"
"API calls",0.403351,0.126002,6722,0.018744,2.477000,2.731346,"cudaStreamSynchronize"
"API calls",0.389299,0.121612,237,0.513132,10.652000,10.487855,"cudaEventSynchronize"
"API calls",0.247692,0.077376,62977,0.001228,0.618000,9.655908,"cudaStreamWaitEvent"
"API calls",0.078480,0.024516,53,0.462571,15.253000,2.583377,"cudaHostAlloc"
"API calls",0.069836,0.021816,6408,0.003404,1.190000,0.572863,"cudaPointerGetAttributes"
"API calls",0.055981,0.017488,59,0.296402,0.477000,1.706573,"cudaFree"
"API calls",0.030684,0.009585,3148,0.003044,1.466000,0.175572,"cudaEventCreate"
"API calls",0.016802,0.005249,6465,0.000811,0.187000,0.014237,"cuDevicePrimaryCtxGetState"
"API calls",0.015430,0.004820,3270,0.001474,0.558000,0.024841,"cudaEventDestroy"
"API calls",0.014833,0.004634,6412,0.000722,0.393000,0.018140,"cudaSetDevice"
"API calls",0.004144,0.001294,43,0.030104,16.993000,0.102941,"cudaMemGetInfo"
"API calls",0.003972,0.001241,182,0.006818,0.548000,0.480781,"cudaEventCreateWithFlags"
"API calls",0.003772,0.001178,237,0.004972,2.927000,0.022584,"cudaEventElapsedTime"
"API calls",0.003562,0.001113,480,0.002318,0.529000,0.090088,"cudaFuncSetAttribute"
"API calls",0.002324,0.000726,1,0.726142,726.142000,0.726142,"cuDeviceTotalMem"
"API calls",0.001817,0.000568,4,0.141935,97.432000,0.201309,"cudaGetDeviceProperties"
"API calls",0.001223,0.000382,8,0.047737,1.632000,0.351781,"cudaStreamCreateWithPriority"
"API calls",0.001075,0.000336,78,0.004307,4.047000,0.007854,"cudaEventQuery"
"API calls",0.000473,0.000148,16,0.009231,1.621000,0.063028,"cudaStreamCreateWithFlags"
"API calls",0.000430,0.000134,101,0.001329,0.162000,0.056714,"cuDeviceGetAttribute"
"API calls",0.000332,0.000104,4,0.025925,18.154000,0.033443,"cudaMemcpy"
"API calls",0.000265,0.000083,96,0.000861,0.319000,0.020189,"cudaDeviceGetAttribute"
"API calls",0.000153,0.000048,8,0.005993,1.903000,0.030632,"cudaDeviceSynchronize"
"API calls",0.000142,0.000044,1,0.044385,44.385000,0.044385,"cuDeviceGetName"
"API calls",0.000056,0.000017,6,0.002912,0.216000,0.015210,"cudaGetDeviceCount"
"API calls",0.000038,0.000012,3,0.003973,3.558000,0.004773,"cudaFuncGetAttributes"
"API calls",0.000011,0.000003,2,0.001742,1.100000,0.002385,"cudaHostGetDevicePointer"
"API calls",0.000010,0.000003,1,0.003208,3.208000,0.003208,"cuDeviceGetPCIBusId"
"API calls",0.000008,0.000003,2,0.001289,1.025000,0.001554,"cudaDeviceGetStreamPriorityRange"
"API calls",0.000005,0.000002,3,0.000507,0.239000,0.000919,"cuDeviceGetCount"
"API calls",0.000003,0.000001,2,0.000427,0.157000,0.000698,"cuDeviceGet"
"API calls",0.000001,0.000000,1,0.000307,0.307000,0.000307,"cuDeviceGetUuid"
